repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-structural,metadata,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,637.758,9.302,20,0,0.0,0,0
dagayn-structural,metadata,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,637.758,0.15,20,14,0.0714,0,1
dagayn-structural,metadata,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,637.758,0.127,20,0,0.0,0,0
dagayn-structural,metadata,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,637.758,0.108,20,0,0.0,0,0
dagayn-structural,metadata,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,637.758,0.089,20,0,0.0,0,0
dagayn-structural,metadata,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,637.758,0.089,20,0,0.0,0,0
dagayn-structural,metadata,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,637.758,0.076,20,0,0.0,0,0
dagayn-structural,metadata,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,637.758,0.106,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1201.957,9.273,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1201.957,0.123,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1201.957,0.096,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1201.957,0.088,20,9,0.1111,0,1
dagayn-structural,body,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1201.957,0.092,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1201.957,0.089,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1201.957,0.083,20,0,0.0,0,0
dagayn-structural,body,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1201.957,0.094,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1185.451,9.353,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1185.451,0.114,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1185.451,0.083,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1185.451,0.087,20,11,0.0909,0,1
dagayn-structural,structured,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1185.451,0.072,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1185.451,0.08,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1185.451,0.077,20,0,0.0,0,0
dagayn-structural,structured,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1185.451,0.074,20,0,0.0,0,0
dagayn-structural,narrative,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1772.397,9.113,20,0,0.0,0,0
dagayn-structural,narrative,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1772.397,0.107,20,0,0.0,0,0
dagayn-structural,narrative,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1772.397,0.103,20,11,0.0909,0,1
dagayn-structural,narrative,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1772.397,0.092,20,0,0.0,0,0
dagayn-structural,narrative,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1772.397,0.085,20,7,0.1429,0,1
dagayn-structural,narrative,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1772.397,0.077,20,11,0.0909,0,1
dagayn-structural,narrative,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1772.397,0.072,20,0,0.0,0,0
dagayn-structural,narrative,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1772.397,0.075,20,0,0.0,0,0
