repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-structural-all,metadata,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,643.231,9.706,20,0,0.0,0,0
dagayn-structural-all,metadata,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,643.231,0.158,20,14,0.0714,0,1
dagayn-structural-all,metadata,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,643.231,0.113,20,0,0.0,0,0
dagayn-structural-all,metadata,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,643.231,0.101,20,0,0.0,0,0
dagayn-structural-all,metadata,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,643.231,0.086,20,0,0.0,0,0
dagayn-structural-all,metadata,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,643.231,0.09,20,0,0.0,0,0
dagayn-structural-all,metadata,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,643.231,0.073,20,0,0.0,0,0
dagayn-structural-all,metadata,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,643.231,0.104,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1215.305,9.138,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1215.305,0.122,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1215.305,0.088,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1215.305,0.09,20,6,0.1667,0,1
dagayn-structural-all,body,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1215.305,0.094,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1215.305,0.076,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1215.305,0.089,20,0,0.0,0,0
dagayn-structural-all,body,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1215.305,0.104,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1184.954,8.927,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1184.954,0.109,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1184.954,0.086,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1184.954,0.087,20,7,0.1429,0,1
dagayn-structural-all,structured,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1184.954,0.07,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1184.954,0.075,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1184.954,0.074,20,0,0.0,0,0
dagayn-structural-all,structured,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1184.954,0.091,20,0,0.0,0,0
dagayn-structural-all,narrative,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1833.623,9.527,20,0,0.0,0,0
dagayn-structural-all,narrative,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1833.623,0.132,20,0,0.0,0,0
dagayn-structural-all,narrative,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1833.623,0.106,20,15,0.0667,0,1
dagayn-structural-all,narrative,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1833.623,0.087,20,0,0.0,0,0
dagayn-structural-all,narrative,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1833.623,0.088,20,3,0.3333,1,1
dagayn-structural-all,narrative,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1833.623,0.079,20,10,0.1,0,1
dagayn-structural-all,narrative,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1833.623,0.071,20,0,0.0,0,0
dagayn-structural-all,narrative,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1833.623,0.086,20,0,0.0,0,0
